Data stored on SZ timesteps
Time	Obs 5	Obs 35	Obs 37	Obs 65
1970-08-18 08:34:57	64.0972	42.9649	34.6853	26.7157
1970-08-18 16:50:47	64.0961	42.9642	34.686	26.7144
1970-08-19 00:00:00	64.095	42.9634	34.6864	26.7132
1970-08-19 08:51:10	64.0936	42.9622	34.6867	26.7117
1970-08-19 15:34:29	64.0927	42.9616	34.6869	26.7108
1970-08-19 23:16:10	64.0915	42.9606	34.6868	26.7096
1970-08-20 00:00:00	64.0865	42.9606	34.6869	26.7095
1970-08-20 09:21:10	64.0857	42.9593	34.6863	26.708
1970-08-20 17:16:54	64.0849	42.9586	34.6812	26.7071
1970-08-21 00:00:00	64.0839	42.9577	34.6808	26.7061
1970-08-21 12:00:00	64.082	42.9561	34.6792	26.6968
1970-08-22 00:00:00	64.0804	42.9477	34.6733	26.6955
1970-08-22 12:00:00	64.0786	42.9469	34.6714	26.6937
1970-08-23 00:00:00	64.0769	42.9456	34.6645	26.6918
1970-08-23 12:00:00	64.0751	42.9384	34.6596	26.6899
1970-08-24 00:00:00	64.0735	42.9378	34.6574	26.6879
1970-08-24 12:00:00	64.0717	42.9363	34.6514	26.6858
1970-08-25 00:00:00	64.0701	42.935	34.649	26.6838
1970-08-26 00:00:00	64.0664	42.9315	34.6378	26.6792
1970-08-27 00:00:00	64.0634	42.9288	34.6294	26.6751
1970-08-28 00:00:00	64.0601	42.9257	34.6226	26.6706
1970-08-29 00:00:00	64.0568	42.9226	34.6157	26.6664
1970-08-30 00:00:00	64.0536	42.9194	34.6091	26.6622
1970-08-31 00:00:00	64.044	42.9163	34.6021	26.658
1970-09-01 00:00:00	64.0411	42.9132	34.5921	26.5959
1970-09-01 12:05:46	64.0396	42.9116	34.5907	26.6151
1970-09-01 12:18:11	64.0396	42.9086	34.5907	26.6151
1970-09-01 12:31:52	64.0379	42.907	34.5907	26.615
1970-09-01 12:46:57	64.038	42.9071	34.5907	26.6114
1970-09-01 13:03:35	64.038	42.9072	34.5906	26.6115
1970-09-01 13:21:55	64.038	42.9073	34.5906	26.6115
1970-09-01 13:42:08	64.038	42.9073	34.5906	26.6115
1970-09-01 14:04:25	64.038	42.9074	34.5905	26.6115
1970-09-01 14:28:59	64.038	42.9075	34.5905	26.6116
1970-09-01 14:56:05	64.0379	42.9075	34.5904	26.6116
1970-09-01 15:25:57	64.0379	42.9075	34.5903	26.6116
1970-09-01 15:58:53	64.0379	42.9075	34.5903	26.6115
1970-09-01 16:35:11	64.0378	42.9075	34.5902	26.6115
1970-09-01 17:15:13	64.0377	42.9074	34.5901	26.6115
1970-09-01 17:59:20	64.0377	42.9074	34.59	26.6114
1970-09-01 18:47:59	64.0376	42.9073	34.5898	26.6114
1970-09-01 19:41:38	64.0375	42.9072	34.5897	26.6113
1970-09-01 20:40:46	64.0373	42.9071	34.5896	26.6112
1970-09-01 21:45:58	64.0372	42.907	34.5894	26.6111
1970-09-01 22:57:51	64.0371	42.9068	34.5893	26.611
1970-09-02 00:00:00	64.037	42.9067	34.5891	26.6109
1970-09-02 01:27:22	64.0368	42.9065	34.589	26.6107
1970-09-02 03:03:42	64.0366	42.9063	34.5888	26.6106
1970-09-02 04:49:54	64.0364	42.9061	34.5886	26.6104
1970-09-02 06:46:59	64.0361	42.9058	34.5885	26.6102
1970-09-02 08:56:05	64.0359	42.9055	34.5884	26.6099
1970-09-02 11:18:24	64.0356	42.9052	34.5883	26.6097
1970-09-02 13:20:22	64.0354	42.905	34.5883	26.6095
1970-09-02 16:13:21	64.035	42.9046	34.5883	26.6092
1970-09-02 19:24:05	64.0347	42.9042	34.5885	26.6088
1970-09-02 22:54:21	64.0342	42.9037	34.5888	26.6084
